epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.974,2.25669,1.5549,1.22914,0.5025,0.32797,0.33592,0.11871,2.49745,2.41491,1.30329,0.070375,0.00329167,0.00329167
2,66.2096,2.39947,1.76743,1.27729,0.40605,0.31388,0.28793,0.10425,2.63197,3.78396,1.33361,0.0401564,0.00640637,0.00640637
3,95.6964,2.46943,1.81817,1.31842,0.33446,0.37827,0.24056,0.07461,2.73177,2.43287,1.36324,0.00971775,0.00930108,0.00930108
4,126.088,2.4768,1.81124,1.29606,0.31259,0.17706,0.16919,0.05379,2.85657,3.14721,1.35938,0.00901,0.00901,0.00901
5,156.305,2.4573,1.78978,1.31502,0.35554,0.23742,0.23003,0.08124,2.97381,2.73105,1.46538,0.00868,0.00868,0.00868
6,187.622,2.44639,1.83241,1.30035,0.41295,0.4165,0.33911,0.1135,2.38417,2.03983,1.27312,0.00835,0.00835,0.00835
7,217.449,2.36499,1.70293,1.27523,0.50193,0.52515,0.48515,0.16796,2.42656,1.70671,1.26962,0.00802,0.00802,0.00802
8,246.915,2.39245,1.71565,1.26846,0.4847,0.41247,0.39901,0.13424,2.47455,1.95815,1.2692,0.00769,0.00769,0.00769
9,276.477,2.39525,1.64428,1.26265,0.52577,0.45272,0.44341,0.14671,2.41417,1.75941,1.2513,0.00736,0.00736,0.00736
10,306.153,2.28336,1.57466,1.22771,0.54797,0.45612,0.45097,0.13635,2.44566,1.7374,1.29475,0.00703,0.00703,0.00703
11,335.981,2.37375,1.58624,1.23151,0.46991,0.38632,0.38463,0.1399,2.52069,2.1554,1.29073,0.0067,0.0067,0.0067
12,365.808,2.30549,1.61717,1.23834,0.48497,0.43387,0.40871,0.13148,2.51258,1.79019,1.2715,0.00637,0.00637,0.00637
13,395.752,2.23483,1.5333,1.21488,0.57848,0.46278,0.46997,0.16178,2.33816,1.62864,1.23858,0.00604,0.00604,0.00604
14,425.708,2.28454,1.57077,1.23354,0.60243,0.49296,0.54589,0.20234,2.25231,1.5674,1.1883,0.00571,0.00571,0.00571
15,456.17,2.23189,1.52338,1.22768,0.43362,0.1831,0.18662,0.06072,2.47472,3.40355,1.26495,0.00538,0.00538,0.00538
16,485.704,2.16376,1.47609,1.19964,0.62249,0.49698,0.56407,0.20477,2.23746,1.52769,1.17988,0.00505,0.00505,0.00505
17,515.82,2.1715,1.3918,1.21004,0.5538,0.56137,0.54218,0.21138,2.23215,1.6105,1.19982,0.00472,0.00472,0.00472
18,545.255,2.14348,1.42043,1.16776,0.54673,0.53119,0.51086,0.18779,2.23145,1.54251,1.19371,0.00439,0.00439,0.00439
19,574.295,2.1247,1.39694,1.17639,0.60554,0.56215,0.56173,0.21326,2.18473,1.57742,1.17437,0.00406,0.00406,0.00406
20,603.428,2.13117,1.38778,1.1696,0.63154,0.5449,0.5631,0.20371,2.20783,1.49776,1.17191,0.00373,0.00373,0.00373
21,731.92,2.0869,1.36932,1.21746,0.62922,0.54975,0.56864,0.20407,2.24096,1.45495,1.20682,0.0034,0.0034,0.0034
22,761.148,2.10288,1.34842,1.21545,0.54123,0.47686,0.46835,0.15803,2.39577,1.62233,1.22763,0.00307,0.00307,0.00307
23,789.741,2.04926,1.32512,1.18663,0.6102,0.53722,0.58077,0.20357,2.25855,1.4518,1.19829,0.00274,0.00274,0.00274
24,818.74,2.06005,1.29769,1.20999,0.58708,0.53119,0.51622,0.19033,2.20725,1.53357,1.19138,0.00241,0.00241,0.00241
25,847.701,2.03395,1.3051,1.20163,0.55562,0.50064,0.46083,0.15008,2.3992,1.6773,1.26464,0.00208,0.00208,0.00208
26,876.492,2.02491,1.25928,1.18931,0.58104,0.50704,0.49657,0.18423,2.28038,1.51793,1.21007,0.00175,0.00175,0.00175
27,905.703,1.97994,1.22339,1.1699,0.58479,0.52515,0.5201,0.1842,2.27625,1.49089,1.23308,0.00142,0.00142,0.00142
28,934.881,1.98479,1.22324,1.18507,0.57375,0.50302,0.4995,0.1907,2.21508,1.5007,1.18766,0.00109,0.00109,0.00109
29,964.561,1.94659,1.21165,1.16201,0.59665,0.57344,0.56119,0.20892,2.1775,1.41477,1.16192,0.00076,0.00076,0.00076
30,997.014,1.9316,1.16341,1.16028,0.6226,0.52113,0.53012,0.20628,2.14369,1.43786,1.15757,0.00043,0.00043,0.00043
