epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.5387,3.86146,5.19415,2.62991,0.00654,0.04255,0.00695,0.00207,3.51285,5.98378,2.38227,6e-05,6e-05,6e-05
2,118.327,4.20746,5.83963,2.73002,0.00552,0.04255,0.00725,0.00214,3.56608,5.86152,2.43393,0.00013076,0.00013076,0.00013076
3,138.705,3.83727,5.3024,2.54266,0.01459,0.04255,0.01174,0.00219,3.61659,5.66772,2.50195,0.00019096,0.00019096,0.00019096
4,158.507,3.90611,5.32474,2.60804,0.23546,0.02128,0.01542,0.00222,3.70256,5.2872,2.57367,0.0002406,0.0002406,0.0002406
5,178.289,3.87628,5.65743,2.81133,0.03466,0.02128,0.01483,0.00242,3.7145,5.09134,2.59238,0.00027968,0.00027968,0.00027968
6,278.685,3.73897,5.49535,2.57839,0.12044,0.04255,0.02367,0.00373,3.70307,4.89107,2.59002,0.0003082,0.0003082,0.0003082
7,318.681,3.64524,4.35972,2.14412,0.12044,0.04255,0.02367,0.00373,3.70307,4.89107,2.59002,0.00032616,0.00032616,0.00032616
8,319.921,3.83691,5.09779,2.86056,0.01837,0.19149,0.01488,0.00309,3.68607,4.74827,2.52937,0.00033356,0.00033356,0.00033356
9,321.14,3.81457,4.77071,2.81374,0.03607,0.04784,0.01398,0.00258,3.69388,4.55881,2.51157,0.0003304,0.0003304,0.0003304
10,323.062,4.09433,4.62936,2.8891,0.03607,0.04784,0.01398,0.00258,3.69388,4.55881,2.51157,0.00031668,0.00031668,0.00031668
11,324.167,3.74798,4.02164,2.45856,0.07107,0.04255,0.01577,0.00302,3.72804,4.29681,2.53003,0.0002924,0.0002924,0.0002924
12,325.18,3.72446,4.95945,2.44721,0.07107,0.04255,0.01577,0.00302,3.72804,4.29681,2.53003,0.00025756,0.00025756,0.00025756
13,326.249,3.83974,4.30273,2.91883,0.08528,0.06383,0.01918,0.00425,3.73087,4.06504,2.51785,0.00021216,0.00021216,0.00021216
14,327.31,3.54478,4.41188,2.42751,0.08528,0.06383,0.01918,0.00425,3.73087,4.06504,2.51785,0.0001562,0.0001562,0.0001562
15,328.387,3.60524,4.44959,2.41918,0.08658,0.06383,0.02575,0.00552,3.73181,3.90524,2.51363,8.968e-05,8.968e-05,8.968e-05
