epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3787,2.10582,1.96685,1.15939,0.61509,0.57746,0.59708,0.22742,2.13227,1.60434,1.14265,0.000658333,0.000658333,0.000658333
2,37.2839,2.06375,1.59207,1.14384,0.59033,0.52515,0.51408,0.16565,2.3069,1.52581,1.21387,0.00125941,0.00125941,0.00125941
3,55.2302,2.06467,1.45276,1.14058,0.62289,0.58161,0.59071,0.21696,2.1904,1.42751,1.15216,0.00179449,0.00179449,0.00179449
4,72.9328,2.06461,1.41603,1.13389,0.63715,0.56883,0.58108,0.21437,2.22698,1.48817,1.18863,0.001703,0.001703,0.001703
5,90.7001,2.05505,1.36697,1.13997,0.55745,0.44606,0.45113,0.16322,2.25122,1.58699,1.20872,0.001604,0.001604,0.001604
6,108.75,2.03323,1.31174,1.14763,0.54397,0.42482,0.4587,0.17077,2.28921,1.67392,1.20725,0.001505,0.001505,0.001505
7,126.756,2.02273,1.32561,1.12631,0.6235,0.54527,0.58285,0.22181,2.23351,1.53693,1.16892,0.001406,0.001406,0.001406
8,144.843,2.03385,1.30515,1.13018,0.60441,0.50905,0.53532,0.18891,2.26731,1.54718,1.19627,0.001307,0.001307,0.001307
9,162.969,1.98315,1.27391,1.13429,0.64958,0.58185,0.59049,0.2242,2.15806,1.42297,1.1503,0.001208,0.001208,0.001208
10,181.183,2.01905,1.2547,1.14047,0.67938,0.56539,0.62534,0.23659,2.17743,1.35441,1.17731,0.001109,0.001109,0.001109
11,250.53,2.04553,1.33251,1.18747,0.59101,0.51509,0.52982,0.19454,2.23334,1.59026,1.18842,0.00101,0.00101,0.00101
12,268.898,2.01181,1.26021,1.17266,0.65232,0.57143,0.59803,0.21596,2.16995,1.40471,1.17177,0.000911,0.000911,0.000911
13,287.833,1.98586,1.2397,1.1634,0.65153,0.59815,0.62172,0.22875,2.15401,1.35773,1.15425,0.000812,0.000812,0.000812
14,306.137,1.96626,1.2139,1.14754,0.63484,0.55619,0.5783,0.2053,2.23427,1.4003,1.18497,0.000713,0.000713,0.000713
15,324.459,1.96514,1.19506,1.15911,0.6501,0.58319,0.57973,0.21554,2.19685,1.38804,1.16527,0.000614,0.000614,0.000614
16,342.804,1.92361,1.16727,1.15084,0.68807,0.55533,0.59887,0.22335,2.21084,1.42245,1.17446,0.000515,0.000515,0.000515
17,361.657,1.92423,1.13281,1.15492,0.57686,0.57545,0.55618,0.20216,2.22401,1.41401,1.19574,0.000416,0.000416,0.000416
18,381.493,1.90286,1.1143,1.13935,0.64628,0.5332,0.55463,0.20395,2.19819,1.41698,1.18645,0.000317,0.000317,0.000317
19,401.546,1.87185,1.10937,1.12739,0.65526,0.58753,0.61496,0.22643,2.14946,1.37202,1.15814,0.000218,0.000218,0.000218
20,421.767,1.9038,1.11269,1.14257,0.67115,0.56338,0.595,0.22071,2.13848,1.39531,1.14702,0.000119,0.000119,0.000119
