epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.2271,1.70743,1.92023,1.62613,0.62572,0.47353,0.50888,0.23777,1.91806,1.81622,1.7628,0.000664917,0.000664917,0.000664917
2,190.414,1.74312,1.73471,1.64085,0.56257,0.48216,0.49353,0.22217,1.95831,1.87659,1.79862,0.00129863,0.00129863,0.00129863
3,282.22,1.76271,1.7309,1.66072,0.53461,0.43479,0.44669,0.20296,2.02446,1.89833,1.8588,0.00189934,0.00189934,0.00189934
4,373.181,1.74841,1.70093,1.64479,0.48294,0.37099,0.37126,0.16502,2.03424,2.11219,1.92164,0.0018515,0.0018515,0.0018515
5,467.41,1.72642,1.66658,1.62348,0.5828,0.47507,0.49882,0.23501,1.92428,1.80879,1.7689,0.001802,0.001802,0.001802
6,565.875,1.70608,1.62399,1.60568,0.62715,0.49444,0.53918,0.26189,1.87065,1.84437,1.73972,0.0017525,0.0017525,0.0017525
7,663.853,1.68919,1.59268,1.59434,0.62109,0.51803,0.55778,0.27279,1.83675,1.66063,1.71883,0.001703,0.001703,0.001703
8,762.193,1.67323,1.58004,1.5974,0.65996,0.54373,0.59645,0.29359,1.82743,1.53112,1.71788,0.0016535,0.0016535,0.0016535
9,852.494,1.65175,1.52939,1.57376,0.64495,0.50997,0.55651,0.28165,1.84161,1.63669,1.73104,0.001604,0.001604,0.001604
10,952.379,1.65009,1.53374,1.57212,0.66325,0.53049,0.59217,0.29372,1.82195,1.53706,1.68734,0.0015545,0.0015545,0.0015545
11,1044.04,1.62039,1.49221,1.55458,0.67244,0.5186,0.57339,0.28435,1.83841,1.57627,1.73423,0.001505,0.001505,0.001505
12,1135.03,1.61964,1.47854,1.55225,0.67407,0.56166,0.61546,0.31673,1.77583,1.52347,1.65619,0.0014555,0.0014555,0.0014555
13,1226.17,1.61495,1.4808,1.5555,0.64755,0.52926,0.5696,0.282,1.86,1.61873,1.73632,0.001406,0.001406,0.001406
14,1321.73,1.59746,1.4209,1.5297,0.69129,0.56735,0.62626,0.31898,1.76402,1.47157,1.65158,0.0013565,0.0013565,0.0013565
15,1434.96,1.57,1.4022,1.51882,0.69602,0.55245,0.62495,0.32357,1.74815,1.45835,1.65549,0.001307,0.001307,0.001307
16,1531.35,1.56037,1.38736,1.50705,0.69119,0.57523,0.63998,0.33009,1.76013,1.43112,1.65311,0.0012575,0.0012575,0.0012575
