epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5288,2.53056,2.3703,1.36319,0.52633,0.44869,0.46433,0.15748,2.32859,1.62682,1.23426,0.000658333,0.000658333,0.000658333
2,65.9508,2.28232,1.609,1.24229,0.54121,0.53521,0.53727,0.20882,2.22248,1.77762,1.18237,0.00125941,0.00125941,0.00125941
3,97.7683,2.2588,1.55179,1.24001,0.57492,0.49698,0.53192,0.19729,2.28223,1.60827,1.22511,0.00179449,0.00179449,0.00179449
4,129.099,2.28346,1.57573,1.22395,0.61082,0.54002,0.58323,0.20174,2.2554,1.77257,1.21081,0.001703,0.001703,0.001703
5,160.426,2.25238,1.50923,1.22394,0.56562,0.48731,0.50132,0.18159,2.28982,1.56202,1.237,0.001604,0.001604,0.001604
6,191.735,2.20888,1.45515,1.22643,0.61193,0.54125,0.55789,0.20748,2.23835,1.5076,1.2097,0.001505,0.001505,0.001505
7,221.718,2.17128,1.44884,1.18791,0.56091,0.57746,0.5569,0.20694,2.25528,1.50038,1.21219,0.001406,0.001406,0.001406
8,251.893,2.1608,1.4093,1.2005,0.66605,0.55936,0.60741,0.22392,2.20023,1.41528,1.20096,0.001307,0.001307,0.001307
9,282.125,2.1336,1.38209,1.19664,0.59192,0.52113,0.51342,0.16796,2.37612,1.57258,1.23146,0.001208,0.001208,0.001208
10,312.069,2.13125,1.3305,1.201,0.70466,0.53521,0.60375,0.21652,2.19492,1.38962,1.17839,0.001109,0.001109,0.001109
11,390.178,2.09121,1.34252,1.23018,0.57943,0.53924,0.53094,0.19866,2.26733,1.51414,1.20416,0.00101,0.00101,0.00101
12,420.023,2.0985,1.31103,1.21602,0.58353,0.57143,0.57356,0.21745,2.25278,1.44443,1.20699,0.000911,0.000911,0.000911
13,450.118,2.06905,1.29626,1.21123,0.58917,0.5493,0.55373,0.1902,2.24732,1.60288,1.20057,0.000812,0.000812,0.000812
14,481.783,2.04572,1.26324,1.20482,0.57538,0.55619,0.54805,0.18568,2.32042,1.48663,1.2264,0.000713,0.000713,0.000713
15,512.969,2.01959,1.23267,1.20439,0.66869,0.58954,0.61538,0.22843,2.2227,1.38023,1.20018,0.000614,0.000614,0.000614
16,543.041,2.00552,1.19656,1.19607,0.5649,0.54326,0.53422,0.19902,2.24845,1.44456,1.20372,0.000515,0.000515,0.000515
17,573.278,1.94908,1.17645,1.19056,0.56649,0.5332,0.51726,0.1767,2.28709,1.4303,1.20692,0.000416,0.000416,0.000416
18,604.806,1.97768,1.16667,1.18233,0.63134,0.53924,0.55428,0.20137,2.19591,1.4203,1.1786,0.000317,0.000317,0.000317
19,636.346,1.9271,1.14605,1.15986,0.61658,0.5889,0.56876,0.21116,2.20983,1.40335,1.17551,0.000218,0.000218,0.000218
20,668.216,1.95836,1.14438,1.16739,0.67038,0.54728,0.57712,0.20704,2.21799,1.43976,1.1727,0.000119,0.000119,0.000119
