epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.459,1.78835,2.31517,1.73769,0.41198,0.38493,0.33808,0.14662,2.0616,2.19585,1.93392,0.000664917,0.000664917,0.000664917
2,310.202,1.80731,1.82427,1.73276,0.54437,0.4183,0.4259,0.18178,2.05941,1.99958,1.93403,0.00126567,0.00126567,0.00126567
3,458.796,1.79735,1.81683,1.72604,0.52443,0.40276,0.40786,0.18637,2.0243,2.13303,1.9168,0.00180042,0.00180042,0.00180042
4,606.776,1.77603,1.75719,1.70385,0.5473,0.40238,0.41904,0.18734,1.99797,1.96742,1.90239,0.001703,0.001703,0.001703
5,1066.7,1.74175,1.71955,1.66694,0.60431,0.47046,0.5125,0.23343,1.94898,1.8275,1.84745,0.001604,0.001604,0.001604
6,1212.35,1.71646,1.63676,1.64809,0.66147,0.50767,0.56846,0.2749,1.85235,1.73566,1.76591,0.001505,0.001505,0.001505
7,1360.9,1.68619,1.59147,1.63326,0.647,0.52129,0.57219,0.28061,1.8298,1.61606,1.76642,0.001406,0.001406,0.001406
8,1511.8,1.66908,1.56144,1.63162,0.66407,0.51726,0.57269,0.27475,1.84709,1.59537,1.8069,0.001307,0.001307,0.001307
9,1659.23,1.63348,1.51615,1.59702,0.65759,0.53665,0.58685,0.29452,1.80576,1.57466,1.71337,0.001208,0.001208,0.001208
10,1805.15,1.62744,1.49607,1.59394,0.68032,0.52033,0.5865,0.29924,1.78046,1.5561,1.71453,0.001109,0.001109,0.001109
11,2004.01,1.63472,1.41305,1.60957,0.65578,0.5654,0.61773,0.31879,1.75282,1.46998,1.67864,0.00101,0.00101,0.00101
12,2150.53,1.61421,1.37788,1.59711,0.71246,0.58209,0.65383,0.34095,1.73522,1.40528,1.67898,0.000911,0.000911,0.000911
13,2296.21,1.58329,1.33257,1.57144,0.72152,0.57902,0.66394,0.34729,1.70295,1.38776,1.64774,0.000812,0.000812,0.000812
14,2441.38,1.57075,1.29181,1.56486,0.68585,0.59954,0.6633,0.35047,1.7037,1.34465,1.65136,0.000713,0.000713,0.000713
15,2589.15,1.54043,1.26405,1.54739,0.72375,0.61143,0.6784,0.35988,1.69656,1.34027,1.64556,0.000614,0.000614,0.000614
16,2741.44,1.51967,1.21695,1.5307,0.71926,0.62355,0.68959,0.37411,1.66628,1.30513,1.62932,0.000515,0.000515,0.000515
17,2888.33,1.49397,1.18787,1.51266,0.73234,0.61344,0.69249,0.38237,1.64635,1.27491,1.61355,0.000416,0.000416,0.000416
18,3034.94,1.46328,1.15573,1.49386,0.74314,0.63771,0.7177,0.39818,1.62604,1.23309,1.58578,0.000317,0.000317,0.000317
19,3184.98,1.4454,1.12651,1.48409,0.75109,0.64182,0.73042,0.40631,1.61899,1.19699,1.59181,0.000218,0.000218,0.000218
20,3333.8,1.42064,1.09361,1.45998,0.76094,0.64773,0.7352,0.41376,1.60344,1.18155,1.57429,0.000119,0.000119,0.000119
